Well_ID	MD	TVDSS	ZONE	VSH	SW	RT	PHIT	NTG	K
W03	3201.5745	3115.1745	12	0.653	1	6.0412	0.114	0	0.2441
W03	3202.5745	3116.1745	12	0.653	1	6.0412	0.114	0	
W03	3203.5745	3117.1745	12	0.6829	1	5.7705	0.1082	0	0.2063
W03	3204.5745	3118.1745	12	0.6829	1	5.7705	0.1082	0	0.2063
W03	3205.5745	3119.1745	12	0.6829		5.7705		0	0.2063
W03	3206.5745	3120.1745		0.6829	1	5.7705	0.1082	0	0.2063
W03	3207.5745	3121.1745		0.6829	1	5.7705	0.1082	0	0.2063
W03	3208.5745	3122.1745			1	6.1925	0.0985	0	0.1526
W03	3209.5745	3123.1745	12	0.6369	1		0.0985	0	0.1526
W03	3210.5745	3124.1745	12	0.6369	1	6.1925	0.0985	0	0.1526
W03	3211.5745	3125.1745	12	0.6369	1	6.1925	0.0985	0	0.1526
W03	3212.5745	3126.1745	12	0.6369	1	6.1925	0.0985	0	0.1526
W03	3213.5745	3127.1745		0.602	1	6.5341	0.1052	0	0.1887
W03	3214.5745	3128.1745	12	0.602	1	6.5341	0.1052	0	0.1887
W03	3215.5745	3129.1745	12	0.602	1		0.1052	0	0.1887
W03	3216.5745	3130.1745	12	0.602	1	6.5341	0.1052	0	0.1887
W03	3217.5745	3131.1745	12	0.602	1	6.5341	0.1052	0	0.1887
W03	3218.5745	3132.1745	12	0.6161	1	6.3941	0.1138	0	0.2431
W03	3219.5745	3133.1745	12	0.6161	1	6.3941	0.1138	0	0.2431
W03	3220.5745	3134.1745	12	0.6161	1	6.3941	0.1138	0	0.2431
W03	3221.5745	3135.1745	12	0.6161	1	6.3941	0.1138	0	0.2431
W03	3222.5745	3136.1745	12	0.6161	1	6.3941	0.1138	0	0.2431
W03	3223.5745	3137.1745	12	0.6044	1	6.5103	0.1136	0	0.2418
W03	3224.5745	3138.1745	12	0.6044	1	6.5103	0.1136	0	0.2418
W03	3225.5745	3139.1745	12	0.6044	1	6.5103	0.1136	0	0.2418
W03	3226.5745	3140.1745	12	0.6044	1	6.5103	0.1136	0	0.2418
W03	3227.5745	3141.1745	12	0.6044	1	6.5103	0.1136	0	0.2418
W03	3228.5745	3142.1745	12		1	6.3043	0.1032	0	0.1771
W03	3229.5745	3143.1745	12		1	6.3043	0.1032	0	0.1771
W03	3230.5745	3144.1745	12	0.6253	1	6.3043		0	0.1771
W03	3231.5745	3145.1745	12	0.6253	1	6.3043	0.1032	0	0.1771
W03	3232.5745	3146.1745	12	0.6253	1		0.1032	0	0.1771
W03	3233.5745	3147.1745	12	0.631	1	6.2489	0.1209	0	0.2949
W03	3234.5745	3148.1745		0.631	1	6.2489	0.1209	0	0.2949
W03	3235.5745	3149.1745	12	0.631	1	6.2489	0.1209	0	0.2949
W03	3236.5745	3150.1745		0.631	1	6.2489	0.1209	0	0.2949
W03	3237.5745	3151.1745	12	0.631	1	6.2489	0.1209	0	0.2949
W03	3238.5745	3152.1745	12	0.6551	1	6.0219		0	0.115
W03	3239.5745	3153.1745	12		1	6.0219	0.0903	0	
W03	3240.5745	3154.1745	12	0.6551		6.0219	0.0903	0	0.115
W03	3241.5745	3155.1745	12	0.6551		6.0219		0	0.115
W03	3242.5745	3156.1745	12	0.6551	1	6.0219	0.0903	0	0.115
W03	3243.5745	3157.1745	12	0.6379	1		0.1042	0	0.1825
W03	3244.5745	3158.1745	12		1		0.1042	0	0.1825
W03	3245.5745	3159.1745	12	0.6379	1	6.1834	0.1042	0	0.1825
W03	3246.5745	3160.1745		0.6379	1	6.1834	0.1042	0	0.1825
W03	3247.5745	3161.1745	12	0.6379		6.1834	0.1042	0	0.1825
W03	3248.5745	3162.1745	12	0.6366	1	6.1957	0.1018	0	0.1696
W03	3249.5745	3163.1745	12	0.6366	1	6.1957	0.1018	0	0.1696
W03	3250.5745	3164.1745	12	0.6366	1	6.1957		0	0.1696
W03	3251.5745	3165.1745	12	0.6366	1	6.1957	0.1018	0	0.1696
W03	3252.5745	3166.1745	12	0.6366	1	6.1957	0.1018	0	0.1696
W03	3253.5745	3167.1745	12	0.652	1	6.0511	0.0983	0	0.1512
W03	3254.5745	3168.1745	12	0.652	1	6.0511	0.0983	0	0.1512
W03	3255.5745	3169.1745	12	0.652		6.0511	0.0983	0	
W03	3256.5745	3170.1745	12	0.652	1	6.0511	0.0983	0	0.1512
W03	3257.5745	3171.1745	12	0.652	1	6.0511	0.0983	0	0.1512
W03	3258.5745	3172.1745	12	0.634	1	6.2204	0.1092	0	0.2129
W03	3259.5745	3173.1745	12	0.634	1	6.2204	0.1092	0	0.2129
W03	3260.5745	3174.1745	12	0.634	1	6.2204	0.1092	0	0.2129
W03	3261.5745	3175.1745	12	0.634	1	6.2204	0.1092	0	0.2129
W03	3262.5745	3176.1745	12	0.634	1	6.2204	0.1092	0	0.2129
W03	3263.5745	3177.1745	12	0.6527	1	6.0446	0.0817	0	0.0833
W03	3264.5745	3178.1745	12	0.6527		6.0446	0.0817	0	0.0833
W03	3265.5745	3179.1745	12	0.6527	1	6.0446	0.0817	0	0.0833
W03	3266.5745	3180.1745	12	0.6527	1	6.0446	0.0817	0	0.0833
W03	3267.5745	3181.1745	12	0.6527	1	6.0446	0.0817	0	0.0833
W03	3268.5745	3182.1745	12	0.6194	1	6.3623	0.1042	0	0.183
W03	3269.5745	3183.1745	12	0.6194	1	6.3623	0.1042	0	0.183
W03	3270.5745	3184.1745	12	0.6194	1	6.3623	0.1042	0	0.183
W03	3271.5745	3185.1745	12	0.6194	1	6.3623	0.1042	0	0.183
W03	3272.5745	3186.1745	12	0.6194	1	6.3623	0.1042	0	0.183
W03	3273.5745	3187.1745	12		1	6.4336	0.1043	0	0.1833
W03	3274.5745	3188.1745	12	0.6121	1	6.4336	0.1043	0	0.1833
W03	3275.5745	3189.1745	12	0.6121	1	6.4336	0.1043	0	0.1833
W03	3276.5745	3190.1745	12	0.6121	1		0.1043	0	0.1833
