Well_ID,N,Pay_Share,Accuracy,Balanced_Accuracy,Precision,Sensitivity,Specificity,F1,MCC,ROC_AUC,PR_AUC,Brier,TN,FP,FN,TP
W01,1481,0.30722484807562456,0.9142471303173532,0.8757288520446416,0.9338624338624338,0.7758241758241758,0.9756335282651072,0.8475390156062425,0.7951521981378403,0.9390420495683653,0.9148373108945832,0.07577089399210905,1001,25,102,353
W02,1778,0.2874015748031496,0.9623172103487064,0.9513736471656702,0.9422310756972112,0.9256360078277887,0.9771112865035517,0.9338598223099703,0.9075859355500119,0.9879540403158917,0.9714296676436287,0.0447484145038412,1238,29,38,473
W03,2011,0.21332670313276977,0.9433117851815017,0.8841217779270876,0.9436619718309859,0.7808857808857809,0.9873577749683944,0.8545918367346939,0.8254418215930659,0.9914053498124296,0.9676575933001175,0.03543991262475587,1562,20,94,335
W04,99,0.7474747474747475,0.2727272727272727,0.5135135135135135,1.0,0.02702702702702703,1.0,0.05263157894736842,0.08346094065617252,0.3691891891891892,0.6966777190401525,0.6891211376880858,25,0,72,2
W05,1881,0.6044657097288676,0.8585858585858586,0.8574736857037478,0.8991750687442713,0.862796833773087,0.8521505376344086,0.8806104129263914,0.7082961039690303,0.9443652414862731,0.9649079002190781,0.09580413419467895,634,110,156,981
W06,1218,0.5993431855500821,0.9400656814449918,0.9336963844599147,0.9362549800796812,0.9657534246575342,0.9016393442622951,0.9507754551584626,0.8749095837581704,0.975339658657085,0.9850785977321619,0.062126403199358846,440,48,25,705
