Model,Pooled_MAE_ohm_m,Pooled_RMSE_ohm_m,Pooled_R2,Macro_MAE_ohm_m,Macro_R2
Linear VSH,0.9806012767477068,3.5358368454596008,0.5823104291702212,0.9293900326212459,0.6388570818586272
Quadratic VSH,0.7787543486005907,2.6174616747809814,0.7711083972303725,0.7410430612276157,0.8021759571028247
Random forest VSH,0.03494018229838399,0.7040563443640618,0.9834390963645813,0.031073626749386112,0.9791536194260614
Gradient boosting VSH,0.07390348789546436,0.8519274014223643,0.9757520866344741,0.06942678113487794,0.9723617521964972
