Model,Grouped_Pooled_Balanced_Accuracy,Grouped_Macro_Balanced_Accuracy,Brier,ROC_AUC
Logistic regression,0.9044051197078191,0.835984643469096,0.06933745482128696,0.9585596721375822
Pruned CART,0.8882545171968427,0.8164102246847738,0.07749384052120599,0.9441488995086084
Random forest,0.8912077275046681,0.8201371173684312,0.07657951722986697,0.9445864489234801
Gradient boosting,0.8890569539691707,0.8169148824213872,0.07390346673635696,0.947846487034846
