Held_Out_Well,Node_ID,Feature,Threshold,Is_Root
W01,0,PHIT,0.1709500029683113,True
W01,1,PHIT,0.16094999760389328,False
W01,2,VSH,0.4908500015735626,False
W01,3,PHIT,0.1582999974489212,False
W01,6,VSH,0.6289499998092651,False
W01,9,VSH,0.5979999899864197,False
W01,10,VSH,0.45035000145435333,False
W01,13,PHIT,0.1644499972462654,False
W01,16,VSH,0.6220499873161316,False
W01,17,PHIT,0.17419999837875366,False
W01,18,PHIT,0.17345000058412552,False
W01,21,VSH,0.4681999981403351,False
W01,24,PHIT,0.18435000628232956,False
W01,25,VSH,0.6698499917984009,False
W01,28,PHIT,0.19345000386238098,False
W02,0,PHIT,0.17109999805688858,True
W02,1,PHIT,0.15824999660253525,False
W02,2,VSH,0.4044000059366226,False
W02,3,PHIT,0.14204999804496765,False
W02,6,VSH,0.47334998846054077,False
W02,9,VSH,0.5979999899864197,False
W02,10,VSH,0.4511000066995621,False
W02,13,VSH,0.6802999973297119,False
W02,16,VSH,0.619700014591217,False
W02,17,VSH,0.46809999644756317,False
W02,18,PHIT,0.1753999963402748,False
W02,21,PHIT,0.20884999632835388,False
W02,24,PHIT,0.18435000628232956,False
W02,25,VSH,0.6698499917984009,False
W02,28,PHIT,0.19345000386238098,False
W03,0,PHIT,0.1709500029683113,True
W03,1,PHIT,0.1587500050663948,False
W03,2,VSH,0.40335001051425934,False
W03,3,PHIT,0.14204999804496765,False
W03,6,VSH,0.47334998846054077,False
W03,9,VSH,0.5467499792575836,False
W03,10,VSH,0.4521999955177307,False
W03,13,VSH,0.5934999883174896,False
W03,16,VSH,0.6220499873161316,False
W03,17,VSH,0.4533500075340271,False
W03,18,PHIT,0.1753000020980835,False
W03,21,PHIT,0.2081499993801117,False
W03,24,PHIT,0.18435000628232956,False
W03,25,VSH,0.7287499904632568,False
W03,28,PHIT,0.19345000386238098,False
W04,0,PHIT,0.1709500029683113,True
W04,1,PHIT,0.15824999660253525,False
W04,2,VSH,0.40335001051425934,False
W04,3,PHIT,0.14204999804496765,False
W04,6,VSH,0.5284000039100647,False
W04,9,VSH,0.5577499866485596,False
W04,10,VSH,0.4521999955177307,False
W04,13,VSH,0.5979999899864197,False
W04,16,VSH,0.6220499873161316,False
W04,17,VSH,0.4533500075340271,False
W04,18,PHIT,0.1741499975323677,False
W04,21,PHIT,0.17419999837875366,False
W04,24,PHIT,0.18435000628232956,False
W04,25,VSH,0.7287499904632568,False
W04,28,PHIT,0.19345000386238098,False
W05,0,PHIT,0.16534999758005142,True
W05,1,VSH,0.47334998846054077,False
W05,2,PHIT,0.14509999752044678,False
W05,3,PHIT,0.12310000136494637,False
W05,6,PHIT,0.16074999421834946,False
W05,9,PHIT,0.1587500050663948,False
W05,10,PHIT,0.11794999986886978,False
W05,13,VSH,0.5388999879360199,False
W05,16,VSH,0.6708499789237976,False
W05,17,VSH,0.4522999972105026,False
W05,19,PHIT,0.17375000566244125,False
W05,22,PHIT,0.18824999779462814,False
W05,23,PHIT,0.16974999755620956,False
W06,0,PHIT,0.1610499992966652,True
W06,1,VSH,0.47334998846054077,False
W06,2,PHIT,0.14204999804496765,False
W06,3,PHIT,0.12310000136494637,False
W06,6,VSH,0.4044000059366226,False
W06,9,PHIT,0.1587500050663948,False
W06,10,PHIT,0.11794999986886978,False
W06,13,VSH,0.6807999908924103,False
W06,16,VSH,0.6042999923229218,False
W06,17,PHIT,0.17424999922513962,False
W06,18,VSH,0.4511000066995621,False
W06,21,VSH,0.4681999981403351,False
W06,24,PHIT,0.17924999445676804,False
W06,25,PHIT,0.1687999963760376,False
W06,28,PHIT,0.18435000628232956,False
